"Be still and know","","Author unknown. *","Author unknown","","",
"Be still and know","","Lex Loizides. * Copyright © 1995 Kingsway's Thankyou Music.","Lex Loizides","","",
"Be still for the presence of the Lord,","","David J. Evans. * Copyright © 1986 Kingsway's Thankyou Music.","David J. Evans","SOF  #40","",
"Be thou my vision;","","Tr. Mary E. Byrne & Eleanor H. Hull. *","Tr. Mary E. Byrne | Eleanor H. Hull","SOF #42","",
"Beautiful Lord,","","Darlene Zschech * Copyright © 1997 Darlene Zschech/Hillsong Publishing/ Kingsway Music","Darlene Zschech","","",
"Beauty for brokenness,","","Graham Kendrick. * Copyright © 1993 Make Way Music.","Graham Kendrick","","",
"Because of You,","","Dave Bilbrough * Copyright © 1999 Thankyou Music","Dave Bilbrough","","",
"Before one ever came to be","","Lara Martin (Abundant Life Ministries, Bradford, England) * Copyright © 2002 Thankyou Music","Lara Martin (Abundant Life Ministries | Bradford | England)","","",
"Before the throne of God above;","","Charitie L. Bancroft (1841-92) *","Charitie L. Bancroft (1841-92)","SOF #1187","",
"Befriended","","Matt Redman * Copyright © 2002 Thankyou Music","Matt Redman","","",
"Behold the darkness.","","Eric Glass. * Copyright © Gordon V. Thompson Music, a division of Warner/Chappell Music/IMP.","Eric Glass","","",
"Behold the Lamb of glory comes,","","Robert Critchley * Copyright © 1996 Thankyou Music","Robert Critchley","","",
"Behold the Lord","","Gerald Coates & Noel Richards. * Copyright © 1991 Kingsway's Thankyou Music.","Gerald Coates | Noel Richards","","",
"Behold the servant of the Lord:","","Charles Wesley. *","Charles Wesley","","",
"Bells they are ringing,","","Jim Bailey. * Copyright © 1996 Kingsway's Thankyou Music.","Jim Bailey","","",
"Belovèd and blessèd,","","Stuart Townend * Copyright © 2000 Thankyou Music","Stuart Townend","","",
"Beneath the cross of Jesus (SH08-14)","","","Author Unknown","","",
"Beneath the cross of Jesus","","Elizabeth C. Clephane. *","Elizabeth C. Clephane","","",
"Bind us together;","","Bob Gillman. * Copyright © 1977 Kingsway's Thankyou Music.","Bob Gillman","SOF #43","",
"Bless the Lord, my soul,","","Jacques Berthier/Taizé. * Copyright © Ateliers et Presses de Taizé.","Jacques Berthier/Taizé","","",
"Bless the Lord, O my soul,","","Copyright © 1989 Kingsway’s Thankyou Music.","Phil Rogers","","",
"Bless the Lord, O my soul,","","Author unknown. *","Author unknown","","",
"Blessèd are the poor","","David Lyle Morris & Pat Youd * Copyright © 2000 Thankyou Music","David Lyle Morris | Pat Youd","","",
"Blessèd assurance;","","Fanny J. Crosby. *","Fanny J. Crosby","SOF #44","",
"Blessèd be the God and Father","","David Fellingham. * Copyright © 1983 Kingsway's Thankyou Music.","David Fellingham","","",
"Blessed be the name of the Lord He is our rock","","Kevin Prosch & Danny Daniels. * Copyright © 1989 Mercy/Vineyard Publishing/Adm. by CopyCare.","Kevin Prosch | Danny Daniels","","",
"Blessèd be the name of the Lord Strong tower,","","(From “Love from Below” Wild Goose Publications 1989) *  No permission is required to reproduce this song for non-commercial purposes   Clinton Utterbach. Copyright © 1988 Polygram Music Publishing Ltd.","(From “Love from Below” Wild Goose Publications 1989)","","",
"Blessèd Jesus,","","Joey Holder. * Copyright © 1987 Far Lane Publishing/ Kingsway's Thankyou Music.","Joey Holder","","",
"Blessing and honour,","","Gary Sadler & Jamie Harvill. * Copyright © 1992 Integrity's Praise! Music/ Adm. by Kingsway's Thankyou Music.","Gary Sadler | Jamie Harvill","","",
"Blest be the tie","","John Fawcett. *","John Fawcett","","",
"Born in the night","","Geoffrey Ainger * Copyright © 1964 Stainer & Bell Ltd","Geoffrey Ainger","","",
"Break thou the bread of life,","","Verses 1 & 4 Mary A. Lathbury. * Verses 2 & 3 Alexander Groves.","Verses 1 | 4 Mary A. Lathbury","","",
"Breathe on me, breath of God (Fellingham),","","Edwin Hatch, adpt. David Fellingham. * Copyright © 1995 Kingsway's Thankyou Music.","Edwin Hatch | adpt. David Fellingham","","",
"Breathe on me, breath of God,","","Edwin Hatch. *","Edwin Hatch","","",
"Breathe on me, O wind of change","","Andrea Lawrence & Noel Robinson * Copyright © 2000 Thankyou Music","Andrea Lawrence | Noel Robinson","","",
"Breathe on me, Spirit of Jesus","","For permission to reproduce this song for non-commercial purposes, * please contact Calamus, 30 North Terrace, Mildenhall, Suffolk, IP28 7AB   Tina Pownall. Copyright © 1987 Sovereign Music UK.","For permission to reproduce this song for non-commercial purposes","","",
"Bring a psalm","","Brent Chambers. * Copyright © 1979 Scripture in Song, a division of Integrity Music/Adm. by Kingsway's Thankyou Music.","Brent Chambers","","",
"Bring heaven to earth, Lord;;","","2007 Andrew Flannagan","Andy Flannagan","SOF #2234","",
"Bring Your best to their worst","","John L. Bell * Copyright © 1998 WGRG, Iona Community","John L. Bell","","",
"Broken for me,","","Janet Lunt. * Copyright © 1978 Sovereign Music UK.","Janet Lunt","","",
"Brother, let me be Your servant,","","Richard Gillard. * Copyright © 1977 Scripture in Song, a division of Integrity Music/Adm. by Kingsway's Thankyou Music.","Richard Gillard","","",
"Burn it deep","","Kent & Carla Henry. * Copyright © 1989 Kent Henry Ministries/ Kingsway's Thankyou Music.","Kent Henry | Carla Henry","","",
"By Your blood","","David Fellingham. * Copyright © 1997 Kingsway's Thankyou Music.","David Fellingham","","",
"By Your side","","Noel & Tricia Richards. * Copyright © 1989 Kingsway's Thankyou Music.","Noel Richards | Tricia Richards","","",
"Called to a battle,","","Noel & Tricia Richards. * Copyright © 1992 Kingsway's Thankyou Music.","Noel Richards | Tricia Richards","","",
"Calling all nations,","","Noel Richards & Wayne Drain * Copyright © 1998 Thankyou Music","Noel Richards | Wayne Drain","","",
"Can a nation be changed?","","Matt Redman. * Copyright © 1996 Kingsway's Thankyou Music.","Matt Redman","","",
"Can I ascend","","Matt Redman. * Copyright © 1995 Kingsway's Thankyou Music.","Matt Redman","","",
"Catch the fire,","","Chris Bowater. * Copyright © 1996 Sovereign Lifestyle Music.","Chris Bowater","","",
"Cause me to come","","Edward R. Miller. * Copyright © 1974 Maranatha! Music/ Adm. by CopyCare.","Edward R. Miller","","",
"Celebrate in the Lord,","","Evan Rogers * Copyright © 2000 Thankyou Music","Evan Rogers","","",
"Celebrate Jesus,","","Gary Oliver. * Copyright © 1988 Integrity's Hosanna! Music. Adm. Kingsway's Thankyou Music.","Gary Oliver","","",
"Change my heart, O God,","","Eddie Espinosa. * Copyright © 1982 Mercy/Vineyard Publishing/Adm. by CopyCare.","Eddie Espinosa","","",
"Christ be in my waking","","2011 Thankyou Music","Stuart Townend","","",
"Christ is made the sure foundation","","From the Latin, J.M. Neale (1818-66) * Copyright © in this version Jubilate Hymns","From the Latin | J.M. Neale (1818-66)","","",
"Christ is risen!","","Chris Rolinson. * Copyright © 1989 Kingsway's Thankyou Music.","Chris Rolinson","","",
"Christ the Lord is risen today:","","Charles Wesley. *","Charles Wesley","","",
"Christ triumphant,","","Michael Saward. * Words Copyright © Michael Saward/ Jubilate Hymns.","Michael Saward","","",
"Christ, whose glory fills the skies","","Charles Wesley (1707-88) *","Charles Wesley (1707-88)","","",
"Christians awake!","","J. Byrom, altd. *","J. Byrom | altd","","",
"Christ's is the world","","John L. Bell & Graham Maule. * Copyright © 1989 WGRG, Iona Community.","John L. Bell | Graham Maule","","",
"Clap Your hands, all You nations,","","(From “Love from Below” Wild Goose Publications 1989) *    No permission is required to reproduce this song for non-commercial purposes     Ian White. Copyright © 1987 Little Misty Music/ Kingsway's Thankyou Music.","(From “Love from Below” Wild Goose Publications 1989)","","",
"Clear the road,","","Graham Kendrick. * Copyright © 1988 Make Way Music.","Graham Kendrick","","",
"Closer to You,","","Patricia Morgan. * Copyright © 1991 Kingsway's Thankyou Music.","Patricia Morgan","","",
"Colours of day;","","Sue McClellan, John Pac, Keith Ryecroft. * Copyright © 1974 Kingsway's Thankyou Music.","Sue McClellan | John Pac | Keith Ryecroft","SOF #64","",
"Come all You people","","Alexander Gondo * Copyright © World Council of Churches","Alexander Gondo","","",
"Come and join the celebration,","","Valerie Collison. * Copyright © 1972 High-Fye Music.","Valerie Collison","","",
"Come and praise Him, royal priesthood,","","Andy Carter. * Copyright © 1977 Kingsway's Thankyou Music.","Andy Carter","","",
"Come and praise the living God,","","Mike Kerry. * Copyright © 1982 Kingsway's Thankyou Music.","Mike Kerry","","",
"Come and see,","","Graham Kendrick. * Copyright © 1989 Make Way Music.","Graham Kendrick","","",
"Come bless the Lord,","","Author unknown. *","Author unknown","","",
"Come down, O love divine","","after Bianco da Siena (1367-1434) * Richard F. Littledale (1833-90)","after Bianco da Siena (1367-1434)","","",
"Come, Holy Spirit,","","For permission to reproduce this song for non-commercial purposes, * please contact Hi-Fye Music 8-9 Frith Street, London, W1V 5TZ  Loralee Thiessen. Copyright © 1993 Mercy/Vineyard Publishing/ Adm. by CopyCare.","For permission to reproduce this song for non-commercial purposes","","",
"Come into the heavenlies","","Billy Funk. * Copyright © 1992 Integrity's Praise! Music/ Adm. by Kingsway's Thankyou Music.","Billy Funk","","",
"Come into the Holy of holies,","","John Sellers. * Copyright © 1984 Integrity's Hosanna! Music. Adm. Kingsway's Thankyou Music.","John Sellers","","",
"Come, let us join our cheerful songs","","Isaac Watts. *","Isaac Watts","","",
"Come let us return","","Kevin Prosch. * Copyright © 1993 7th Time Music/Kingsway's Thankyou Music.","Kevin Prosch","","",
"Come, let us sing for joy to the world","","Brent Chambers. * Copyright © 1985 Scripture in Song, a division of Integrity Music/Adm. by Kingsway's Thankyou Music.","Brent Chambers","","",
"Come, let us sing of a wonderful love,","","Robert Walmsley. *","Robert Walmsley","","",
"Come, let us worship Jesus,","","Graham Kendrick. * Copyright © 1992 Make Way Music.","Graham Kendrick","","",
"Come, let us worship the King of kings","","Nathan Fellingham * Copyright © 2001 Thankyou Music","Nathan Fellingham","","",
"Come, my soul, and praise the Lord.","","John Pantry. * Copyright © 1992 Kingsway's Thankyou Music.","John Pantry","","",
"Come near to me,","","Alan Rose * Copyright © 1998 Thankyou Music","Alan Rose","","",
"Come, now is the time","","Brian Doerksen * Copyright © 1998 Vineyard Songs (UK/Eire)/ Adm. by CopyCare","Brian Doerksen","","",
"Come on and celebrate;","","Patricia Morgan & Dave Bankhead. * Copyright © 1984 Kingsway's Thankyou Music.","Patricia Morgan | Dave Bankhead","SOF #73","",
"Come out of darkness","","Copyright © 1996 Kingsway's * Thankyou Music.","Copyright © 1996 Kingsway's","","",
"Come, praise the Lord","","Keith Getty & Kristyn Lennox * Copyright © 2002 Thankyou Music","Keith Getty | Kristyn Lennox","","",
"Come see the beauty of the Lord,","","Graham Kendrick. * Copyright © 1985 Kingsway's Thankyou Music.","Graham Kendrick","","",
"Come, see the Lord","","Martin E. Leckebusch * Copyright © 2000 Kevin Mayhew Ltd","Martin E. Leckebusch","","",
"Come, see this glorious light","","Stuart Townend * Copyright © 1999 Thankyou Music","Stuart Townend","","",
"Come to the power,","","Richard Lewis. * Copyright © 1996 Kingsway's Thankyou Music.","Richard Lewis","","",
"Come to the table,","","Dave Bilbrough * Copyright © 1999 Thankyou Music","Dave Bilbrough","","",
"Come, wounded healer","","Martin E. Leckebusch * Copyright © 2000 Kevin Mayhew Ltd","Martin E. Leckebusch","","",
"Come, ye thankful people, come,","","Henry Alford. *","Henry Alford","","",
"Confidence, we have confidence","","Chris Bowater. * Copyright © 1994 Sovereign Lifestyle Music.","Chris Bowater","","",
"Create in me a clean heart","","David Fellingham. * Copyright © 1983 Kingsway's Thankyou Music.","David Fellingham","","",
"Create in me thr purest of hearts","","Matt Redman * Copyright © 1996 Thankyou Music","Matt Redman","","",
"Crown Him with many crowns,","","Matthew Bridges & Godfrey Thring. *","Matthew Bridges | Godfrey Thring","","",
"Darkness like a shroud","","Graham Kendrick. * Copyright © 1985 Kingsway's Thankyou Music.","Graham Kendrick","","",
"Day after day, I'll search to find you","","Tim Hughes * Copyright © 2001 Thankyou Music","Tim Hughes","","",
"Day by day","","Geoff Bullock. * Copyright © 1997 Watershed Productions/ Kingsway's Thankyou Music.","Geoff Bullock","","",
"Day of favour,","","David Fellingham. * Copyright © 1995 Kingsway's Thankyou Music.","David Fellingham","","",
"Days of heaven","","David Fellingham. * Copyright © 1994 Kingsway's Thankyou Music.","David Fellingham","","",
"Dear Lord and Father of mankind,","","John G. Whittier. *","John G. Whittier","","",
"Did You feel the mountains tremble?","","Martin Smith. * Copyright © 1994 Curious? Music UK/Adm. by Kingsway's Thankyou Music.","Martin Smith","","",
"Do not be afraid","","Gerard Markland * Copyright © 1978 Kevin Mayhew Ltd","Gerard Markland","","",
"Do something new, Lord,","","Chris Bowater. * Copyright © 1986 Sovereign Lifestyle Music.","Chris Bowater","","",
"Do You love to praise the Lord?","","Wayne Drain, Noel Richards, Wayne Freeman,  * Neil Costello & Bradley Mason Copyright © 2001 Thankyou Music","Wayne Drain | Noel Richards | Wayne Freeman","","",
"Don't be lazy,","","Ian Smale. * Copyright © 1987 Kingsway's Thankyou Music.","Ian Smale","","",
"Don't build Your house","","Karen Lafferty * Copyright © 1981 Maranatha! Praise Inc./Adm. by CopyCare","Karen Lafferty","","",
"Don't let my love grow cold;","","Brian Doerksen. * Copyright © 1994 Mercy/Vineyard Publishing/ Adm. by CopyCare.","Brian Doerksen","","",
"Down the mountain the river flows,","","Andy Park. * Copyright © 1994 Mercy/Vineyard Publishing/ Adm. by CopyCare.","Andy Park","","",
"Draw me close to the cross,","","Geoff & Judith Roberts. * Copyright © 1996 Kingsway's Thankyou Music.","Geoff Roberts | Judith Roberts","","",
"Draw me close to You,","","Kelly Carpenter * Copyright © 1994 Mercy/Vineyard Publishing/ Adm. by CopyCare","Kelly Carpenter","","",
"Draw me closer, Lord","","Stuart DeVane & Glenn Gore. * Copyright © 1987 Mercy/Vineyard Publishing/Adm. by CopyCare.","Stuart DeVane | Glenn Gore","","",
"Draw me closer, precious Saviour","","Ian Hannah * Copyright © 2001 Thankyou Music","Ian Hannah","","",
"Draw me near to You","","Dave Doran * Copyright © 2001 Thankyou Music","Dave Doran","","",
"Draw me to Your side, ,","","Brian Houston & Tom Brock * Copyright © 2002 Thankyou Music","Brian Houston | Tom Brock","","",
"Drawn from every tribe,","","David Lyle Morris & Faith Forster * Copyright © 2000 Thankyou Music","David Lyle Morris | Faith Forster","","",
"Eat this bread","","Taizé, music: Jacques Berthier (1923-94) * Copyright © Ateliers et Presses de Taizé","Taizé | music: Jacques Berthier (1923-94)","","",
"El-shaddai,","","John Thompson & Michael Card. * Copyright © 1981 Whole Armor Publishing/ Full Armor Publishing/Songs for Today Windswept Pacific Music Limited.","John Thompson | Michael Card","","",
"Emmanuel,","","Bob McGee. * Copyright © 1976 C A Music/Music Services/CopyCare.","Bob McGee","","",
"Endless Hallelujah (SH12 88)!","","2011 Thankyou Music/Said and Done Music","Matt Redman","SOF #2642","",
"Enter in","","Carol Mundy. * Copyright © 1988 Kingsway's Thankyou Music.","Carol Mundy","","",
"Eternal covenant","","David Fellingham. * Copyright © 1992 Kingsway's Thankyou Music.","David Fellingham","","",
"Eternal Father, strong to save","","William Whiting (1825-78) *","William Whiting (1825-78)","","",
"Eternal God,","","David Fellingham. * Copyright © 1983 Kingsway's Thankyou Music.","David Fellingham","","",
"Even though I walk (SH08-26}","","","Author Unknown","","",
"Everlasting","","Sue Rinaldi & Caroline Bonnett * Copyright © 2001 Thankyou Music","Sue Rinaldi | Caroline Bonnett","","",
"Every breath I breathe","","Lara Martin (Abundant Life Ministries, Bradford, England) * Copyright © 2002 Thankyou Music","Lara Martin (Abundant Life Ministries | Bradford | England)","","",
"Every day He is watching","","Robin Mark * Copyright © 2001 Thankyou Music","Robin Mark","","",
"Every day, I see your beauty more","","Matt Redman * Copyright © 1998 Thankyou Music","Matt Redman","","",
"Every morning","","Noel Richards & Wayne Drain * Copyright © 2001 Thankyou Music","Noel Richards | Wayne Drain","","",
"Everyone needs compassion;","","2006 Ben Fielding & Reuben Morgan/Hillsong Publishing","Reuben Morgan | Ben Fielding","SOF #1757","",
